クリーニング店（てん）	a	dry cleaner	dry cleaners	
クリーム	a	cream	creams	
クリスマス		Christmas		
苦（くる）しみ		suffering		1
くるぶし	an	ankle	ankles	
車（くるま）	a	car	cars	
車椅子（くるまいす）	a	wheelchair	wheelchairs	
車酔（くるまよ）い		car sickness		
グレープフルーツ	a	grapefruit	grapefruits	
グレープフルーツジュース		grapefruit juice		
クレジットカード	a	credit card	credit cards	
訓練（くんれん）		training		
敬意（けいい）	a	respect	respects	1
経営（けいえい）		management		1
経営学（けいえいがく）		business economics		1
経営学部（けいえいがくぶ）	a	faculty of business administration	facultys of business administration	1
計画（けいかく）	a	plan	plans	
景気（けいき）		economy		1
経験（けいけん）	an	experience	experiences	
傾向（けいこう）	a	trend	trends	
警告（けいこく）	a	warning	warnings	
経済（けいざい）		economy		1
経済学（けいざいがく）		economics		1
経済学部（けいざいがくぶ）	a	faculty of economics	faculties of economics	1
警察（けいさつ）	the	police		
警察官（けいさつかん）	a	police officer	police officers	
警察署（けいさつしょ）	a	police station	police stations	
計算（けいさん）	a	calculation	calculations	
刑事（けいじ）	a	detective	detectives	1
掲示板（けいじばん）	a	bulletin board	bulletin boards	1
芸術（げいじゅつ）		art		
携帯電話（けいたいでんわ）	a	mobile phone	mobile phones	
競馬（けいば）		horse racing		1
契約（けいやく）	a	contract	contracts	1
契約（けいやく）	an	agreement	agreements	1
契約社員（けいやくしゃいん）	a	temporary worker	temporary workers	
契約書（けいやくしょ）	a	contract document	contract documents	
計量（けいりょう）		measurement		
計量（けいりょう）カップ	a	measuring cup	measuring cups	
経歴（けいれき）	a	career	careers	
ケーキ	a	cake	cakes	
ゲーム	a	game	contracts	
外科（げか）		surgery		1
外科医（げかい）	a	surgeon	surgeons	1
景色（けしき）		scenery		
化粧室（けしょうしつ）	a	powder room	powder rooms	
化粧品（けしょうひん）	a	cosmetic	cosmetics	
ゲスト	a	guest	guests	
ケチャップ		ketchup		
血圧（けつあつ）		blood pressure		1
欠員（けついん）	a	vacancy	vacancies	1
結果（けっか）	a	result	results	
血管（けっかん）	a	blood vessel	blood vessels	
結婚（けっこん）	a	marriage	marriages	
結婚式（けっこんしき）	a	wedding	weddings	
欠席（けっせき）	an	absence	absences	1
決定（けってい）	a	decision	decisions	
県（けん）	a	prefecture	prefectures	1
件（けん）	a	matter	matters	1
券（けん）	a	ticket	tickets	
喧嘩（けんか）	a	fight	fights	
限界（げんかい）	a	limit	limits	
玄関（げんかん）	a	entrance	entrances	
研究（けんきゅう）	a	research	researches	
現金（げんきん）		cash		
言語（げんご）	a	language	languages	
健康（けんこう）		health		
健康診断（けんこうしんだん）	a	medical checkup	medical checkups	
原告（げんこく）	a	plaintiff	plaintiffs	1
検査（けんさ）	an	inspection	inspections	1
原材料（げんざいりょう）	a	raw material	raw materials	1
建築物（けんちくぶつ）	an	architectural structure	architectural structures	1
建築家（けんちくか）	an	architect	architects	1
建築学（けんちくがく）		architectural study		1
建築学部（けんちくがくぶ）	a	faculty of architecture	faculties of architecture	1
現場（げんは）	a	site	sites	1
券売機（けんばいき）	a	ticket-vending machine	ticket-vending machines	
憲法（けんぽう）	a	constitution	constitutions	1
権利（けんり）	a	right	rights	1
恋（こい）	a	romance	romances	1
子犬（こいぬ）	a	puppy	puppies	
コイン	a	coin	coins	
コインランドリー	a	coin laundry	coin laundries	
コインロッカー	a	coin locker	coin lockers	
行為（こうい）	an	action	actions	1
幸運（こううん）	a	good luck	good lucks	
公園（こうえん）	a	park	parks	
効果（こうか）	an	effect	effects	1
硬貨（こうか）	a	coin	coins	
後悔（こうかい）	a	regret	regrets	1
交換（こうかん）	an	exchange	exchanges	1
航空券（こうくうけん）	an	air ticket	air tickets	
高校（こうこう）	a	high school	high schools	
高校生（こうこうせい）	a	high school student	high school students	
広告（こうこく）	an	advertisement	advertisements	
工作（こうさく）		handicrafts		
考察（こうさつ）	a	consideration	considerations	1
交差点（こうさてん）	an	intersection	intersections	
高層（こうそう）ビル	a	high rise	high rises	
高速道路（こうそくどうろ）	a	highway	highways	
紅茶（こうちゃ）		tea		
校長（こうちょう）	a	principal	principals	
交通（こうつう）		traffic		
交通事故（こうつうじこ）	a	traffic accident	traffic accidents	
交通渋滞（こうつうじゅうたい）	a	traffic jam	traffic jams	
交通手段（こうつうしゅだん）	a	means of transportation	means of transportation	
交通費（こうつうひ）		transportation expenses		
工程（こうてい）	a	step	steps	1
行動（こうどう）		behavior		1
購入者（こうにゅうしゃ）	a	buyer	buyers	1
購入品（こうにゅうひん）	a	purchased item	purchased items	1
光熱費（こうねつひ）		utility costs		1
幸福（こうふく）		happiness		
興奮（こうふん）		excitement		
項目（こうもく）	an	item	items	1
交流（こうりゅう）	an	interaction	interactions	1
声（こえ）	a	voice	voices	
コース	a	course	courses	
コート	a	coat	coats	
コーヒー		coffee		
コーヒーメーカー	a	coffee maker	coffee makers	
コーヒーカップ	a	coffee cup	coffee cups	
コーラ		coke		
氷（こおり）		ice		
ゴキブリ	a	cockroach	cockroaches	1
呼吸（こきゅう）		breathing		
故郷（こきょう）	a	hometown	hometowns	
告訴（こくそ）	an	accusation	accusations	1
告白（こくはく）	a	confession	confessions	1
告発（こくはつ）	an	accusation	accusations	1
国民（こくみん）		the public		1
国立公園（こくりつこうえん）	a	national park	national parks	
心（こころ）		heart		
腰（こし）	a	waist	waists	
胡椒（こしょう）		pepper		
個人	an	individual	individuals	1
小銭（こぜに）		small change		
小銭入（こぜにい）れ	a	coin purse	coin purses	
固体（こたい）	a	solid	solids	1
国家（こっか）	a	nation	nations	1
国旗（こっき）	a	national flag	national flags	1
国境（こっきょう）	a	national border	national borders	1
コップ	a	cup	cups	
事（こと）	a	thing	things	
事柄（ことがら）	a	matter	matters	1
言葉（ことば）	a	word	words	
子供（こども）	a	child	children	
粉（こな）		powder		
コネ	a	connection	connections	1
子猫（こねこ）	a	kitten	kittens	
小麦粉（こむぎこ）		flour		1
こぶし	a	fist	fists	1
コマーシャル	a	commercial	commercials	
ゴミ		garbage		
ゴミ箱（ばこ）	a	trash can	trash cans	
米（こめ）		rice		
小指（こゆび）	a	little finger	little fingers	
雇用（こよう）		employment		1
雇用者（こようしゃ）	an	employer	employers	1
ゴルフ		golf		
コンサート	an	concert	concerts	
